entry_type,slot,row,col,token,glyph_value,six_segment_bits,sequence,output_character,notes
direct,0,1,1,A,58,111010,A,A,direct glyph alphabet token
direct,1,1,2,B,23,010111,B,B,direct glyph alphabet token
direct,2,1,3,C,53,110101,C,C,direct glyph alphabet token
direct,3,1,4,D,42,101010,D,D,direct glyph alphabet token
direct,4,1,5,E,49,110001,E,E,direct glyph alphabet token
direct,5,1,6,F,48,110000,F,F,direct glyph alphabet token
direct,6,1,7,G,55,110111,G,G,direct glyph alphabet token
direct,7,1,8,H,22,010110,H,H,direct glyph alphabet token
direct,8,2,1,I,33,100001,I,I,direct glyph alphabet token
direct,9,2,2,J,9,001001,J,J,direct glyph alphabet token
direct,10,2,3,K,28,011100,K,K,direct glyph alphabet token
direct,11,2,4,L,5,000101,L,L,direct glyph alphabet token
direct,12,2,5,M,26,011010,M,M,direct glyph alphabet token
direct,13,2,6,N,18,010010,N,N,direct glyph alphabet token
direct,14,2,7,O,57,111001,O,O,direct glyph alphabet token
direct,15,2,8,P,61,111101,P,P,direct glyph alphabet token
direct,16,3,1,Q,59,111011,Q,Q,direct glyph alphabet token
direct,17,3,2,R,29,011101,R,R,direct glyph alphabet token
direct,18,3,3,S,35,100011,S,S,direct glyph alphabet token
direct,19,3,4,T,36,100100,T,T,direct glyph alphabet token
direct,20,3,5,U,7,000111,U,U,direct glyph alphabet token
direct,21,3,6,V,6,000110,V,V,direct glyph alphabet token
direct,22,3,7,W,31,011111,W,W,direct glyph alphabet token
direct,23,3,8,X,30,011110,X,X,direct glyph alphabet token
direct,24,4,1,Y,27,011011,Y,Y,direct glyph alphabet token
direct,25,4,2,Z,41,101001,Z,Z,direct glyph alphabet token
direct,26,4,3,0,56,111000,0,0,direct glyph alphabet token
direct,27,4,4,1,12,001100,1,1,direct glyph alphabet token
direct,28,4,5,2,45,101101,2,2,direct glyph alphabet token
direct,29,4,6,3,43,101011,3,3,direct glyph alphabet token
direct,30,4,7,4,62,111110,4,4,direct glyph alphabet token
direct,31,4,8,5,51,110011,5,5,direct glyph alphabet token
direct,32,5,1,6,15,001111,6,6,direct glyph alphabet token
direct,33,5,2,7,44,101100,7,7,direct glyph alphabet token
direct,34,5,3,8,63,111111,8,8,direct glyph alphabet token
direct,35,5,4,9,60,111100,9,9,direct glyph alphabet token
direct,36,5,5,space,0,000000,space,space,direct glyph alphabet token
direct,37,5,6,.,1,000001,.,.,direct glyph alphabet token
direct,38,5,7,",",2,000010,",",",",direct glyph alphabet token
direct,39,5,8,!,3,000011,!,!,direct glyph alphabet token
direct,40,6,1,?,4,000100,?,?,direct glyph alphabet token
direct,41,6,2,:,8,001000,:,:,direct glyph alphabet token
direct,42,6,3,;,10,001010,;,;,direct glyph alphabet token
direct,43,6,4,',11,001011,',',direct glyph alphabet token
direct,44,6,5,"""",13,001101,"""","""",direct glyph alphabet token
direct,45,6,6,-,14,001110,-,-,direct glyph alphabet token
direct,46,6,7,_,16,010000,_,_,direct glyph alphabet token
direct,47,6,8,/,17,010001,/,/,direct glyph alphabet token
direct,48,7,1,|,20,010100,|,|,direct glyph alphabet token
direct,49,7,2,@,21,010101,@,@,direct glyph alphabet token
direct,50,7,3,#,24,011000,#,#,direct glyph alphabet token
direct,51,7,4,&,25,011001,&,&,direct glyph alphabet token
direct,52,7,5,+,32,100000,+,+,direct glyph alphabet token
direct,53,7,6,=,34,100010,=,=,direct glyph alphabet token
direct,54,7,7,*,37,100101,*,*,direct glyph alphabet token
direct,55,7,8,%,38,100110,%,%,direct glyph alphabet token
direct,56,8,1,$,39,100111,$,$,direct glyph alphabet token
direct,57,8,2,(,40,101000,(,(,direct glyph alphabet token
direct,58,8,3,),46,101110,),),direct glyph alphabet token
direct,59,8,4,~,54,110110,~,~,direct glyph alphabet token
control,60,8,5,CAP NEXT,47,101111,CAP NEXT,CAP NEXT,case or symbol control glyph
control,61,8,6,CAPS ON,50,110010,CAPS ON,CAPS ON,case or symbol control glyph
control,62,8,7,LOWER ON,52,110100,LOWER ON,LOWER ON,case or symbol control glyph
control,63,8,8,SYM NEXT,19,010011,SYM NEXT,SYM NEXT,case or symbol control glyph
extended,,,,A,58,111010,SYM NEXT + A,<,SYM NEXT makes the next glyph an extended web symbol
extended,,,,B,23,010111,SYM NEXT + B,>,SYM NEXT makes the next glyph an extended web symbol
extended,,,,C,53,110101,SYM NEXT + C,[,SYM NEXT makes the next glyph an extended web symbol
extended,,,,D,42,101010,SYM NEXT + D,],SYM NEXT makes the next glyph an extended web symbol
extended,,,,E,49,110001,SYM NEXT + E,{,SYM NEXT makes the next glyph an extended web symbol
extended,,,,F,48,110000,SYM NEXT + F,},SYM NEXT makes the next glyph an extended web symbol
extended,,,,G,55,110111,SYM NEXT + G,\,SYM NEXT makes the next glyph an extended web symbol
extended,,,,H,22,010110,SYM NEXT + H,^,SYM NEXT makes the next glyph an extended web symbol
extended,,,,I,33,100001,SYM NEXT + I,`,SYM NEXT makes the next glyph an extended web symbol
